candidate_type,score,scene,MMSI,Name,evidence,figure_path,vv_patch_path,vh_patch_path
godark,1.0,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,636020478,TRUE CHAMPION,SAR scene has MMSI but nearest AIS update is 3180.81 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\001_godark_636020478_3_063031_07E8E6_8878.png,new\Patch_RGB\Cargo_x4533_y12327.png,new\Patch_RGB\Cargo_x4533_y12327_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,440448000,HMM DAVAO,SAR scene has MMSI but nearest AIS update is 152.28 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\002_godark_440448000_3_063031_07E8E6_6469.png,new\Patch_RGB\Cargo_x7444_y2065.png,new\Patch_RGB\Cargo_x7444_y2065_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260202T204550_20260202T204615_063045_07E96C_27A3,525115025,KUMAWA MELODY,SAR scene has MMSI but nearest AIS update is 1428.76 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\003_godark_525115025_5_063045_07E96C_27A3.png,new\Patch_RGB\Passenger_x5792_y8058_vv.png,new\Patch_RGB\Passenger_x5792_y8058_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260202T222449_20260202T222514_063046_07E974_0FB1,525200476,BANDAR BAHARI 278,SAR scene has MMSI but nearest AIS update is 650.59 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\004_godark_525200476_4_063046_07E974_0FB1.png,new\Patch_RGB\Fishing100_Fishing_x21860_y4056.png,new\Patch_RGB\Fishing100_Fishing_x21860_y4056_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260206T110749_20260206T110817_063097_07EB59_3D22,525666000,KM SAMUDRA INDAH,SAR scene has MMSI but nearest AIS update is 122.13 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\005_godark_525666000_7_063097_07EB59_3D22.png,new\Patch_RGB\Fishing100_Fishing_x27578_y18135.png,new\Patch_RGB\Fishing100_Fishing_x27578_y18135_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260208T091157_20260208T091226_063125_07EC69_85C8,525119156,KMP BINAR,SAR scene has MMSI but nearest AIS update is 1080.80 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\006_godark_525119156_6_063125_07EC69_85C8.png,new\Patch_RGB\Passenger_x19177_y15814_vv.png,new\Patch_RGB\Passenger_x19177_y15814_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260208T213541_20260208T213606_063133_07ECB4_51CC,525100000,KLM GHINAYAH,SAR scene has MMSI but nearest AIS update is 2027.41 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\007_godark_525100000_6_063133_07ECB4_51CC.png,new\Patch_RGB\Fishing100_Fishing_x10214_y9588.png,new\Patch_RGB\Fishing100_Fishing_x10214_y9588_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260212T101800_20260212T101825_063184_07EE91_9756,525003131,KMPFAIS,SAR scene has MMSI but nearest AIS update is 341.30 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\008_godark_525003131_5_063184_07EE91_9756.png,new\Patch_RGB\Passenger_x13894_y7947_vv.png,new\Patch_RGB\Passenger_x13894_y7947_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260212T101825_20260212T101850_063184_07EE91_7FEA,525019434,KMP MERAK          0,SAR scene has MMSI but nearest AIS update is 1907.69 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\009_godark_525019434_0_063184_07EE91_7FEA.png,new\Patch_RGB\Passenger_x16498_y15218_vv.png,new\Patch_RGB\Passenger_x16498_y15218_vh.png
godark,1.0,S1A_IW_GRDH_1SDV_20260213T214502_20260213T214527_063206_07EF64_DB88,525001120,SABUK NUSANTARA 49,SAR scene has MMSI but nearest AIS update is 233.25 hours from scene time.,KAPAL YG TERDETEKSI\SAR_SCENE_GALLERY_ALL\010_godark_525001120_7_063206_07EF64_DB88.png,new\Patch_RGB\Passenger_x20686_y8564_vv.png,new\Patch_RGB\Passenger_x20686_y8564_vh.png
