scene,scene_time_utc,MMSI,Name,Ship_Type,gfw_shiptype,Center_latitude,Center_longitude,Sog,Cog,AIS_Latitude,AIS_Longitude,sar_ais_distance_km,sar_projected_distance_km,sar_kalman_est_distance_km,AIS_update_time_gap_hours,ais_position_time_gap_hours,kalman_dt_hours,kalman_pred_residual_m,kalman_mmsi_observation_count,patch_rgb_vv_actual_file,patch_rgb_vh_actual_file,source_file,candidate_type,score,rule,evidence,neighbor_mmsi,neighbor_distance_km,neighbor_sog
S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,2026-02-01T21:42:08Z,636020478,TRUE CHAMPION,CARGO,CARGO,1.942836000593632,119.61988278642824,0.0,224.8,-20.0,119.0,2440.872331264177,,2440.872331264177,3180.810103,,,,1,Cargo_x4533_y12327.png,Cargo_x4533_y12327_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 3180.81 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260201T214258_20260201T214323_063031_07E8E6_6469,2026-02-01T21:42:58Z,440448000,HMM DAVAO,CARGO,CARGO,-0.1456630210296622,119.24145901954796,0.0,0.0,37.3,126.59999847,4231.947424706836,,4231.947424706836,152.283889,,,,1,Cargo_x7444_y2065.png,Cargo_x7444_y2065_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 152.28 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260202T204550_20260202T204615_063045_07E96C_27A3,2026-02-02T20:45:50Z,525115025,KUMAWA MELODY,PASSENGER,PASSENGER,-2.414947304360481,133.09183817001863,0.0,0.0,-2.4,133.1000061,1.893646890158246,,1.893646890158246,1428.763889,,,,1,Passenger_x5792_y8058_vv.png,Passenger_x5792_y8058_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1428.76 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260202T222449_20260202T222514_063046_07E974_0FB1,2026-02-02T22:24:49Z,525200476,BANDAR BAHARI 278,FISHING,FISHING,-2.940989922415016,109.7107179228022,0.0,0.0,-9.3,114.80000305,903.4626254110158,,903.4626254110158,650.586389,,,,2,Fishing100_Fishing_x21860_y4056.png,Fishing100_Fishing_x21860_y4056_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 650.59 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260206T110749_20260206T110817_063097_07EB59_3D22,2026-02-06T11:07:49Z,525666000,KM SAMUDRA INDAH,FISHING,FISHING,-3.4598704501259454,109.36211781210956,1.81552,185.194318,-4.639392136749703,109.73419189453124,137.4964445492062,,137.49644474308596,122.130278,,,,2,Fishing100_Fishing_x27578_y18135.png,Fishing100_Fishing_x27578_y18135_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 122.13 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260208T091157_20260208T091226_063125_07EC69_85C8,2026-02-08T09:11:57Z,525119156,KMP BINAR,PASSENGER,PASSENGER,-5.619804656985892,137.92072551111164,0.0,0.0,-4.8,136.80000305,153.98490901583037,,153.98490901583037,1080.800833,,,,1,Passenger_x19177_y15814_vv.png,Passenger_x19177_y15814_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1080.80 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260208T213541_20260208T213606_063133_07ECB4_51CC,2026-02-08T21:35:41Z,525100000,KLM GHINAYAH,FISHING,FISHING,-4.293314538696359,120.8033819708661,0.0,0.0,-5.1,119.40000153,179.537200524865,,179.537200524865,2027.405278,,,,5,Fishing100_Fishing_x10214_y9588.png,Fishing100_Fishing_x10214_y9588_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 2027.41 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260212T101800_20260212T101825_063184_07EE91_9756,2026-02-12T10:18:00Z,525003131,KMPFAIS,PASSENGER,PASSENGER,-4.32414596195707,120.85436027612454,0.0,0.0,-18.119749966946426,121.5802001953125,1536.0337138904492,,1536.0337142557241,341.3,,,,1,Passenger_x13894_y7947_vv.png,Passenger_x13894_y7947_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 341.30 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260212T101825_20260212T101850_063184_07EE91_7FEA,2026-02-12T10:18:25Z,525019434,KMP MERAK          0,PASSENGER,PASSENGER,-3.474737929516336,120.765234737583,6.004054,0.0,-5.5,119.30000305,277.65884278548504,,277.65884278548504,1907.693056,,,,1,Passenger_x16498_y15218_vv.png,Passenger_x16498_y15218_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 1907.69 hours from scene time.,,,
S1A_IW_GRDH_1SDV_20260213T214502_20260213T214527_063206_07EF64_DB88,2026-02-13T21:45:02Z,525001120,SABUK NUSANTARA 49,PASSENGER,PASSENGER,-8.261930603246167,118.794475394557,0.0,0.0,-17.109292665395643,119.4049072265625,986.0042159374033,,986.0042164731727,233.249444,,,,1,Passenger_x20686_y8564_vv.png,Passenger_x20686_y8564_vh.png,new\metadata\metadata_with_vh_gfw_ais_identity_sog_cog_enriched_FINAL_kalman_estimated.csv,godark,1.0,AIS_update_time_gap_hours >= 24,SAR scene has MMSI but nearest AIS update is 233.25 hours from scene time.,,,
