MMSI,Name,category,scene,timestamp_utc,sequence_index,observation_count,ais_lat,ais_lon,kalman_lat,kalman_lon,sog,cog,kalman_est_sog,kalman_est_cog,trajectory_point_source
219636000,NORD PALLADIUM,Cargo,S1A_IW_GRDH_1SDV_20260201T214208_20260201T214233_063031_07E8E6_8878,2026-02-01T21:42:08.000Z,1,1,2.83,119.66999817,2.83,119.66999817,15.610540,0.000000,15.61054,0,kalman_est_lat_lon_from_AIS_position_updates
229243000,FLAG SEAMAN,Cargo,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,2026-02-01T21:42:33.000Z,1,1,1.17,119.48999786,1.17,119.48999786,18.052140,183.814113,18.05214,183.814113,kalman_est_lat_lon_from_AIS_position_updates
232003534,BERGE RISHIRI,Cargo,S1A_IW_GRDH_1SDV_20260201T214233_20260201T214258_063031_07E8E6_DE84,2026-02-01T21:42:33.000Z,1,1,0.05,119.08000183,0.05,119.08000183,20.729177,190.007639,20.729177,190.007639,kalman_est_lat_lon_from_AIS_position_updates
232007361,BERGE MULHACEN,Cargo,S1A_IW_GRDH_1SDV_20260204T112316_20260204T112345_063068_07EA39_8722,2026-02-04T11:23:16.000Z,1,1,-6.34,105.30000305,-6.34,105.30000305,19.510365,62.525167,19.510365,62.525167,kalman_est_lat_lon_from_AIS_position_updates
232012585,ANGLO RED,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-1.66,118.58999634,-1.66,118.58999634,11.470709,186.007784,11.470709,186.007784,kalman_est_lat_lon_from_AIS_position_updates
232046705,BERGE ODEL,Cargo,S1A_IW_GRDH_1SDV_20260202T222424_20260202T222449_063046_07E974_2178,2026-02-02T22:24:24.000Z,1,1,-2.18,108.44000244,-2.18,108.44000244,9.937271,334.996726,9.937271,334.996726,kalman_est_lat_lon_from_AIS_position_updates
241106000,MARAN MARINER,Cargo,S1A_IW_GRDH_1SDV_20260201T214348_20260201T214413_063031_07E8E6_AD4A,2026-02-01T21:43:48.000Z,1,1,-2.92,118.59999847,-2.92,118.59999847,22.430620,15.504994,22.43062,15.504994,kalman_est_lat_lon_from_AIS_position_updates
244620052,EENDRACHT,Cargo,S1A_IW_GRDH_1SDV_20260207T223056_20260207T223125_063119_07EC28_5F92,2026-02-07T22:30:56.000Z,1,1,9.95532476,103.80981445,9.95532476,103.80981445,0.000000,0.000000,0,0,kalman_est_lat_lon_from_AIS_position_updates
246442000,ZAANDAM,Passenger,S1A_IW_GRDH_1SDV_20260211T202310_20260211T202335_063176_07EE3D_CF0F,2026-02-11T20:23:10.000Z,1,1,-10.344642,139.06150818,-10.344642,139.06150818,14.681433,269.977683,14.681433,269.977683,kalman_est_lat_lon_from_AIS_position_updates
248876000,MARAN SEAFARER,Cargo,S1A_IW_GRDH_1SDV_20260201T214323_20260201T214348_063031_07E8E6_F802,2026-02-01T21:43:23.000Z,1,1,-2.69,118.56999969,-2.69,118.56999969,3.002027,180.000000,3.002027,180,kalman_est_lat_lon_from_AIS_position_updates
